ADM0_A3,Demand,source,SSP1-NoCC2010,SSP1-NoCC2030,SSP1-NoCC2050,SSP2-NoCC2010,SSP2-NoCC2030,SSP2-NoCC2050,SSP3-NoCC2010,SSP3-NoCC2030,SSP3-NoCC2050
UGA,193512,observed,148792.373,378825.2602,939210.4028,148792.3671,383490.4579,906899.2413,148792.4032,388368.7834,869601.5978
GRC,186604,observed,211427.1461,221730.9159,233447.4835,211427.1467,217882.2795,225067.4461,211427.1427,208478.5862,194838.2909
SAU,185207,observed,129749.7948,251068.2918,339176.9308,129749.797,254206.1125,349197.6043,129749.7833,255113.3702,357012.0274
AGO,180714,observed,186532.7721,379135.8363,612321.3413,186532.7652,364535.9249,495963.4792,186532.8078,370012.0786,433301.3208
PRT,178583,observed,192863.8196,204564.9823,222033.3835,192863.8177,202414.9596,217953.8797,192863.8292,191331.3631,184694.4084
BEL,173502,observed,232954.0147,264456.1781,301753.2466,232954.0124,262152.9449,297562.8855,232954.0263,245792.4082,249281.1424
MDG,172103,observed,143979.2469,270403.8226,544566.4534,143979.2412,276079.0544,541562.2866,143979.2764,282276.0827,544828.959
CHE,171763,observed,154482.6411,175706.1853,199035.6434,154482.6396,174140.7232,195921.8767,154482.6488,164305.255,165486.2015
DNK,161201,observed,152117.2297,170160.7295,193484.1672,152117.2282,168140.9693,190053.6633,152117.2372,158302.9315,160800.6861
BLR,160621,observed,206587.5801,202168.6339,185637.3709,206587.5798,203237.0339,190902.6334,206587.5817,205371.7394,196950.1341
NER,160026,observed,207349.7495,709326.3909,2885478.401,207349.7401,659454.0004,2171161.773,207349.7974,642197.561,1729794.77
MLI,152440,observed,121568.6152,280407.1731,665903.6809,121568.61,266775.9602,581270.7059,121568.6418,267733.7929,528111.2291
THA,152205,observed,180274.416,331238.1842,390791.7579,180274.4175,318615.0504,365196.4688,180274.4083,302215.718,314408.0639
AUT,145587,observed,151291.1895,165908.5185,179924.0287,151291.188,164238.984,176699.9156,151291.197,155124.4656,149904.6245
